file,slots,service_bytes_avg_per_slot,arrival_bytes_est_avg_per_slot,backlog_bytes_avg_per_slot,backlog_bytes_median_per_slot,backlog_bytes_pos_delta_total,backlog_bytes_net_delta_total
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_74_H4_P0(NP).csv,11,49737.09090909091,61724.76506238859,69396.54545454546,87222.0,120974.0,-165364.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_75_H4_P0(NP).csv,13,46971.07692307692,54664.53259583226,86412.76923076923,86876.0,85833.0,-100535.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_76_H4_P0(NP).csv,10,52947.6,98954.28312049966,61000.2,56075.0,191518.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_77_H4_P0(NP).csv,10,64858.5,81708.03654036827,35811.8,15188.0,157886.0,-141812.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_78_H4_P0(NP).csv,7,97182.0,128692.92289194747,109162.28571428571,114924.0,189234.0,8654.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_79_H4_P0(NP).csv,9,77864.22222222222,95182.0056980057,74177.77777777778,86614.0,157378.0,-73224.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_80_H4_P0(NP).csv,9,73237.11111111111,75641.3308894126,69027.55555555556,88034.0,69106.0,-115482.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_81_H4_P0(NP).csv,8,84471.625,101815.6002484262,68618.0,81504.0,109024.0,-121608.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_82_H4_P0(NP).csv,12,47820.333333333336,55459.58467661691,38082.0,30030.0,74670.0,-86734.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_83_H4_P0(NP).csv,8,80356.5,100866.82908163266,49055.5,47302.0,135428.0,-75686.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_84_H4_P0(NP).csv,11,61238.181818181816,97016.0833734167,73826.36363636363,72846.0,267172.0,-34998.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_85_H4_P0(NP).csv,3,108689.0,110369.8484848485,15116.666666666666,0.0,3962.0,-41388.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_86_H4_P0(NP).csv,6,107845.66666666667,124409.89496753247,41918.0,37352.5,54945.0,-60824.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_87_H4_P0(NP).csv,9,66044.77777777778,86990.7649385913,73185.88888888889,73796.0,154364.0,-30986.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_88_H4_P0(NP).csv,13,56696.769230769234,90124.53930974605,78207.15384615384,78948.0,209977.0,48814.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_89_H4_P0(NP).csv,6,68251.33333333333,78026.05128205128,54976.333333333336,72124.0,52352.0,-30062.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_90_H4_P0(NP).csv,10,66789.2,88473.09617280801,43317.6,34181.0,182648.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_91_H4_P0(NP).csv,12,57724.666666666664,73718.63470799071,75774.33333333333,61892.0,159606.0,-57654.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_92_H4_P0(NP).csv,10,65301.2,81792.45166908563,42174.8,30447.0,112082.0,-44468.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_93_H4_P0(NP).csv,8,90263.75,111287.92677669664,71863.75,75766.0,141152.0,-115966.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_94_H4_P0(NP).csv,8,74542.0,94600.98818897638,60028.125,51861.0,140951.0,-37418.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_95_H4_P0(NP).csv,9,67991.55555555556,102625.62776506484,83733.77777777778,81652.0,178780.0,-85208.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_96_H4_P0(NP).csv,9,93635.55555555556,109995.90920581023,70248.0,73072.0,116166.0,-135622.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_97_H4_P0(NP).csv,9,70079.55555555556,93493.99073593572,57795.333333333336,70112.0,184424.0,-61729.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_98_H4_P0(NP).csv,8,95719.5,117179.03296703298,77997.25,83697.0,129686.0,-80844.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_99_H4_P0(NP).csv,5,101562.0,130459.94714714715,104435.6,105630.0,138630.0,69794.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_100_H4_P0(NP).csv,17,44551.470588235294,61990.06118844203,44450.705882352944,47356.0,118013.0,-123974.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_101_H4_P0(NP).csv,3,134850.66666666666,169964.56910569104,58656.0,49074.0,77820.0,-57636.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_102_H4_P0(NP).csv,10,76601.0,112470.51432620322,53837.6,54455.0,212645.0,-83070.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_103_H4_P0(NP).csv,3,114836.66666666667,169814.2105263158,53676.0,32624.0,120916.0,-1776.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_104_H4_P0(NP).csv,11,60808.0,77376.83982683983,55628.181818181816,72510.0,145854.0,-75416.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_105_H4_P0(NP).csv,10,68010.1,92658.18285714285,75897.2,87878.0,163732.0,37404.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_106_H4_P0(NP).csv,12,67505.5,90723.26281643147,78376.16666666667,89133.0,200968.0,-46024.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_107_H4_P0(NP).csv,7,63536.28571428572,96936.79251700679,70114.85714285714,79078.0,103210.0,10126.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_108_H4_P0(NP).csv,6,90282.16666666667,104661.99598393573,80674.0,78226.0,73154.0,-27781.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_109_H4_P0(NP).csv,5,95652.0,112318.5142857143,64542.8,79686.0,74278.0,-40942.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_110_H4_P0(NP).csv,10,58214.0,90608.98408875057,101180.8,103677.0,293818.0,102430.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_111_H4_P0(NP).csv,13,58614.307692307695,68245.13691755613,42314.46153846154,40574.0,104291.0,-108807.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_112_H4_P0(NP).csv,12,59512.5,80993.14981868294,63293.333333333336,70248.0,190574.0,-100414.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_113_H4_P0(NP).csv,16,56969.1875,69423.74672264382,55788.125,52490.0,187460.0,-66830.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_114_H4_P0(NP).csv,7,75965.14285714286,71933.82857142857,69016.57142857143,83562.0,51984.0,-90030.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_115_H4_P0(NP).csv,8,83479.75,109724.31731946144,69344.75,55875.0,123580.0,28768.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_116_H4_P0(NP).csv,8,98457.0,178508.65773809524,70508.75,76311.0,153494.0,-106778.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_117_H4_P0(NP).csv,10,69626.9,82642.13142880212,63947.5,77005.0,107001.0,4208.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_118_H4_P0(NP).csv,21,41518.28571428572,52107.87464770961,43453.90476190476,29034.0,173477.0,-90082.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_119_H4_P0(NP).csv,9,75064.22222222222,83940.0628507295,50819.11111111111,45398.0,68640.0,-38590.0
